,iteration,loss,dist,x1,x2,x3,x4,x5,x6
0,0,1.0358569039273304,2.7953372950000137,-1.637719202937125,0.3128932032408742,-0.4671552279598297,1.796773679074175,0.7084578863545251,-1.0417974903755425
1,1,0.9954033282067962,2.898959690241464,1.555701619886802,-0.02729810506741704,-1.4174264184099306,-0.4924324953045733,-1.753393072743107,0.8105799697774354
2,2,0.7185001995646417,2.3893405583305465,0.9857515388953152,-0.3861873379866245,-0.26089997521521857,-1.8823547731987027,-0.6615738191956693,0.7342297594971656
3,3,0.7045526746515365,2.8447613305636033,0.7590705844799372,-0.2081903435292025,-0.8795177512809769,1.079471556921181,-1.94620379796348,1.3215960488291505
4,4,0.951771747292187,2.362259065078538,1.4934898535170367,-0.3307997730916914,-0.3921308869354157,-1.5163264336688989,-0.3537080181438652,0.8137601674196255
5,5,0.5566509541176382,2.5150381810638027,-0.1881039338378004,-0.1175025197963988,0.2833190246105013,-1.896794795460901,-0.5619519662290857,1.5107405276825068
6,6,1.1950521706568689,3.049272702924211,-1.96283983268019,0.5099225325772823,-1.2079220201805536,0.3913776253269417,-0.2741648820224105,1.870263185713366
7,7,0.8573275680989535,2.4943639389020844,1.266485798592668,-1.1212332163325172,-0.4838411193287024,0.40716479903216696,-1.6131238407254944,0.5988717128147947
8,8,1.1798267236906923,2.6289407847042825,-1.853822039751832,0.5446981381756206,0.1837471150182685,1.3001386579383958,0.9555176551010124,-0.7354181880582025
9,9,0.3444331547876719,1.681391130561352,-0.11240194138546578,-0.3160328485168717,0.720160083890677,1.4649915012738732,0.0742070020076997,-0.2103041886896153
10,10,0.7225806636523093,2.533598045212246,-0.5904307283526506,1.4319706640663927,0.9655833907876564,0.5029584335883501,0.6937025634942167,-1.5340889511017424
11,11,0.5307628442226349,1.7708962775285386,-0.6834827385330531,1.0744179175180215,-0.3007303779058632,0.9455744338602484,0.4324543839246364,0.5856488248659439
12,12,0.9494129425415566,3.7093122037362707,-0.416162822004158,-1.7703505294500288,-1.9871378692047241,-1.7173125068693909,1.4711150964691382,1.1788154006066618
13,13,0.6958660596956615,2.2287773910497344,-0.6717490733725668,-1.504994953447079,0.2216489970521187,0.5188786032739778,-0.7332630372277418,-1.181166400970738
14,14,0.6135865897886587,2.175299559144584,0.5552135307504082,0.08411947808438036,-1.6816203109098042,-1.2480874285648342,-0.08884784503534604,-0.15207557897211865
15,15,0.7913596293237004,3.0083113374016888,-0.985644868349202,0.18379932539850685,0.1492376079834088,1.7971666857584363,1.5570607926271225,1.538876483752449
16,16,0.9084590930217628,2.576963891313896,-1.3579699822309117,-1.1018139350125935,-0.4601979960675808,1.646556900618512,-0.11484914723849425,0.8040798019643534
17,17,0.753063714862216,3.0700587013092853,0.3146910207509093,0.16997021789930944,-1.6488466022245485,-1.7428877362213973,-1.371665378404892,1.2882241369101295
18,18,0.4775637037300038,1.9134097667039196,0.6221745933285465,0.5174488821421495,-0.9226993925855318,-0.5634382319875244,1.1511532243049345,0.7157456314457407
19,19,0.8481745292305022,2.654611266234693,1.200534651622691,-0.1151073942147658,-1.49943322884635,1.456684890886832,1.1014354514543263,0.0950625059813892
20,20,1.0229962780174764,3.9806136443938196,1.9869669946945423,1.970727621806939,1.92911636143818,-0.6044365496680557,1.9712632064014248,-0.20191008177111125
21,21,0.3502271195836664,1.4432335829784173,-0.025574464092951242,0.9518177037252098,0.9101768397117858,-0.43243633625159694,0.3515507905824907,0.19313507677461125
22,22,0.3826930551882478,1.545636966336817,0.016502111273946712,0.9644766175647408,1.04867139170391,-0.17551981168439254,0.2465254702337049,-0.5169259779265967
23,23,0.4520821575678173,1.9667298745684048,0.14349839595080754,-0.8098983809808437,0.8472518343309923,-1.1177487826225212,-1.072855466236621,0.27070714637565496
24,24,0.9244233433465896,2.7704921759154186,-1.0437093804193838,1.7966312027937767,1.7408067449157008,-0.07023906439335402,0.2891927745104048,-0.4893259006439831
25,25,0.6467607528860566,2.6335036334312982,-0.2317624375425477,0.9549249609427096,1.3066667890663073,-1.1601823750720983,0.0916944545358461,-1.7052673587268763
26,26,0.34841331326017577,1.5042554077617512,0.4010838709123609,-0.7149947437682074,0.6802065842018566,-0.8290571863934374,0.6122834743103017,0.2564969946073635
27,27,0.5698423092628198,2.505038596989449,0.25003644595785945,-0.8037345632640696,0.5799289809528516,-1.0308099443955874,1.7659551672736182,-1.024317569252868
28,28,0.726496044928989,2.6879207817567954,0.4984473916182202,-0.6116663956764584,1.5061753992603306,1.9371555948864383,0.6798107769755843,0.34504162438788644
29,29,0.9055483185381208,2.6231856349714997,0.8986212873724329,-1.930474458859284,0.5737441509693078,-0.8232761676483961,-1.091105613591493,-0.3864887606305096
30,30,1.1526929762615017,2.8919298394166204,1.9692975474115928,-1.3465466194028357,1.298083608250046,0.10484455092292322,0.5832601878986856,-0.7973278415986883
31,31,0.9187672616931576,2.8874147399438472,-1.3935893730678854,-0.6767246742530147,0.7293054047354273,0.7921763151133069,0.9390258002281238,-1.973807770244492
32,32,1.0174954771006641,2.681381006595904,1.6175489610264413,-1.5598163994317942,-0.09634141543399843,-1.4540727033468115,0.09792423097707824,-0.08434459864504086
33,33,0.5861027966009025,2.0087363843545627,-0.9288565272059524,-0.4857762181118812,0.46029445345763703,0.11601008387310985,1.3316024183512192,0.9683876060807116
